0. 0. 0. 0. 0. 0. 0. 0. 0., 0.0
-1.  1.  0.  0.  0.  0.  0.  0.  0., 18.0
-1.  1. -1.  1.  0.  0.  0.  0.  0., 18.0
-1.  1. -1.  1. -1.  1.  0.  0.  0., -1
 1. -1.  0.  0.  0.  0.  0.  0.  0., 0.594
 1. -1. -1.  1.  0.  0.  0.  0.  0., 1
 1. -1. -1.  1. -1.  1.  0.  0.  0., -1
 1.  0. -1.  0.  0.  0.  0.  0.  0., 0.594
 1.  0.  0. -1.  0.  0.  0.  0.  0., 18.0
 1. -1.  1. -1.  0.  0.  0.  0.  0., 0.5943
 1. -1.  1. -1. -1.  1.  0.  0.  0., 0.3231
 1. -1.  1. -1. -1.  1. -1.  1.  0., 3
 1.  0.  0.  0. -1.  0.  0.  0.  0., 0.5955
 1. -1.  1.  0. -1.  0.  0.  0.  0., 0.594
 1. -1.  1. -1. -1.  0.  1.  0.  0., -1
 1.  0.  0.  0.  0. -1.  0.  0.  0., 0.594
 1. -1.  1.  0.  0. -1.  0.  0.  0., 0.5961
 1. -1.  1. -1.  1. -1.  0.  0.  0., 1
 1. -1.  1. -1.  1. -1. -1.  1.  0., 3
 1.  0.  0.  0.  0.  0. -1.  0.  0., 0.594
 1. -1.  1.  0.  0.  0. -1.  0.  0., 0.594
 1. -1.  1. -1.  1.  0. -1.  0.  0., 0.594
 1.  0.  0.  0.  0.  0.  0. -1.  0., 0.594
 1. -1.  1.  0.  0.  0.  0. -1.  0., -1
 1. -1.  1. -1.  1.  0.  0. -1.  0., 1
 1.  0.  0.  0.  0.  0.  0.  0. -1., 0.594
 1. -1.  1.  0.  0.  0.  0.  0. -1., 0.594
 1. -1.  1. -1.  1.  0.  0.  0. -1., 1
 0.  1. -1.  0.  0.  0.  0.  0.  0., 18.0
-1.  1. -1.  1. -1.  0.  1.  0.  0., 0.5965
-1.  1. -1.  1. -1. -1.  1.  1.  0., -1
 0.  1.  0. -1.  0.  0.  0.  0.  0., 0.594
-1.  1.  1. -1.  0.  0.  0.  0.  0., 0.594
-1.  1.  1. -1. -1.  1.  0.  0.  0., 1
 0.  1.  0.  0.  0. -1.  0.  0.  0., 0.5961
-1.  1.  1.  0.  0. -1.  0.  0.  0., 0.5979
-1.  1.  1. -1.  1. -1.  0.  0.  0., 1
 0.  1.  0.  0.  0.  0. -1.  0.  0., 0.5972
-1.  1.  1.  0.  0.  0. -1.  0.  0., 0.594
 0.  1.  0.  0.  0.  0.  0. -1.  0., 0.594
