-1.  0.  0.  0.  0.  0.  0.  0.  0., 18.0
-1.  1. -1.  0.  0.  0.  0.  0.  0., 18.0
-1.  1. -1.  1. -1.  0.  0.  0.  0., 18.0
 0. -1.  0.  0.  0.  0.  0.  0.  0., 18.0
 1. -1. -1.  0.  0.  0.  0.  0.  0., 0.594
 1. -1. -1.  1. -1.  0.  0.  0.  0., 1
 0.  0. -1.  0.  0.  0.  0.  0.  0., 18.0
 0.  0.  0. -1.  0.  0.  0.  0.  0., 18.0
 1. -1.  0. -1.  0.  0.  0.  0.  0., 0.5965
 1. -1.  1. -1. -1.  0.  0.  0.  0., 0.0687
 1. -1.  1. -1. -1.  1. -1.  0.  0., 3
 0.  0.  0.  0. -1.  0.  0.  0.  0., 18.0
 1. -1.  0.  0. -1.  0.  0.  0.  0., 0.594
 0.  0.  0.  0.  0. -1.  0.  0.  0., 18.0
 1. -1.  0.  0.  0. -1.  0.  0.  0., 0.594
 1. -1.  1. -1.  0. -1.  0.  0.  0., 0.0657
 1. -1.  1. -1.  1. -1. -1.  0.  0., 3
 0.  0.  0.  0.  0.  0. -1.  0.  0., 18.0
 1. -1.  0.  0.  0.  0. -1.  0.  0., 0.594
 1. -1.  1. -1.  0.  0. -1.  0.  0., 0.594
 0.  0.  0.  0.  0.  0.  0. -1.  0., 18.0
 1. -1.  0.  0.  0.  0.  0. -1.  0., 0.594
 1. -1.  1. -1.  0.  0.  0. -1.  0., 0.594
 1. -1.  1. -1.  1. -1.  0. -1.  0., 1
 0.  0.  0.  0.  0.  0.  0.  0. -1., 18.0
 1. -1.  0.  0.  0.  0.  0.  0. -1., 0.594
 1. -1.  1. -1.  0.  0.  0.  0. -1., 0.594
 1. -1.  1. -1.  1. -1.  0.  0. -1., 1
-1.  1. -1.  1. -1. -1.  1.  0.  0., 3
-1.  1.  0. -1.  0.  0.  0.  0.  0., 0.5955
-1.  1.  1. -1. -1.  0.  0.  0.  0., 0.0687
-1.  1.  0.  0.  0. -1.  0.  0.  0., 0.5961
-1.  1.  1. -1.  0. -1.  0.  0.  0., -0.0896
-1.  1.  0.  0.  0.  0. -1.  0.  0., 0.5961
-1.  1.  0.  0.  0.  0.  0. -1.  0., 0.594
-1.  1.  1. -1.  0.  0.  0. -1.  0., 0.594
-1.  1.  1. -1.  1. -1.  0. -1.  0., 1
-1.  1.  0.  0.  0.  0.  0.  0. -1., 0.594
-1.  1.  1. -1.  0.  0.  0.  0. -1., 0.594
-1.  1.  1. -1.  1. -1.  0.  0. -1., 1
-1.  0.  1.  0.  0.  0.  0. -1.  0., 0.5965
-1.  1.  1.  0. -1.  0.  0. -1.  0., 0.5965
-1.  1.  1.  1. -1. -1.  0. -1.  0., 3
-1.  0.  1.  0.  0.  0.  0.  0. -1., 18.0
-1.  1. -1.  1.  0.  0. -1.  0.  0., 0.594
-1.  1. -1.  1.  1. -1. -1.  0.  0., 1
-1.  1. -1.  0.  1.  0. -1.  0.  0., 0.594
-1. -1.  1.  1.  0.  0.  0.  0. -1., 0.594
-1. -1.  1.  1.  1. -1.  0.  0. -1., 1
-1.  1. -1.  0.  0.  1. -1.  0.  0., -0.0905
-1. -1.  1.  0.  1.  0.  0.  0. -1., 0.594
-1. -1.  1.  0.  0.  1.  0.  0. -1., 18.0
-1. -1.  1. -1.  1.  1.  0.  0. -1., 1
-1. -1.  1. -1.  0.  1.  1.  0. -1., 1
-1. -1.  1. -1.  0.  1.  0.  1. -1., -1
 1. -1.  1. -1. -1.  1.  0.  0. -1., 3
-1.  1.  1. -1. -1.  1.  0. -1.  0., 1
-1.  1. -1.  1. -1. -1.  0.  1.  0., -1
-1.  1. -1.  1.  0.  1. -1. -1.  0., 1
 1. -1. -1. -1.  1.  0.  0.  0.  0., 0.594
 1. -1. -1. -1.  1.  1. -1.  0.  0., 3
-1. -1.  1.  0.  0.  0.  0.  0.  0., 0.594
